X,Y,time,video
17.109994,48.139774,16:57:20,511
17.109928,48.139768,16:57:21,512
17.109863,48.139763,16:57:22,513
17.109799,48.139758,16:57:23,514
17.109737,48.139756,16:57:24,515
17.109675,48.139759,16:57:25,516
17.109616,48.139766,16:57:26,517
17.109557,48.139775,16:57:27,518
17.109499,48.139783,16:57:28,519
17.109439,48.139787,16:57:29,520
17.109379,48.139787,16:57:30,521
17.10932,48.139781,16:57:31,522
17.109263,48.13977,16:57:32,523
17.10921,48.139757,16:57:33,524
17.109161,48.139748,16:57:34,525
17.109112,48.139747,16:57:35,526
17.109064,48.139747,16:57:36,527
17.109019,48.139745,16:57:37,528
17.108975,48.139742,16:57:38,529
17.108931,48.139742,16:57:39,530
17.108886,48.139742,16:57:40,531
17.108841,48.139741,16:57:41,532
17.108795,48.13974,16:57:42,533
17.108747,48.139738,16:57:43,534
17.108695,48.139737,16:57:44,535
17.108639,48.139735,16:57:45,536
17.108582,48.139733,16:57:46,537
17.108524,48.139735,16:57:47,538
17.108468,48.13974,16:57:48,539
17.108409,48.139741,16:57:49,540
17.108351,48.139738,16:57:50,541
17.108293,48.139733,16:57:51,542
17.108237,48.139728,16:57:52,543
17.108179,48.139725,16:57:53,544
17.108119,48.139723,16:57:54,545
17.108057,48.13972,16:57:55,546
17.107993,48.139716,16:57:56,547
17.107927,48.139712,16:57:57,548
17.107862,48.139706,16:57:58,549
17.107795,48.139699,16:57:59,550
17.107729,48.139692,16:58:00,551
17.107661,48.139685,16:58:01,552
17.107591,48.139677,16:58:02,553
17.107522,48.139672,16:58:03,554
17.107454,48.139667,16:58:04,555
17.107388,48.139663,16:58:05,556
17.107321,48.139659,16:58:06,557
17.107253,48.139654,16:58:07,558
17.107185,48.139651,16:58:08,559
17.107118,48.139648,16:58:09,560
17.10705,48.139644,16:58:10,561
17.106983,48.139638,16:58:11,562
17.106914,48.139632,16:58:12,563
17.106845,48.139625,16:58:13,564
17.106777,48.139618,16:58:14,565
17.10671,48.139612,16:58:15,566
17.106645,48.139607,16:58:16,567
17.10658,48.139603,16:58:17,568
17.106516,48.139601,16:58:18,569
17.106451,48.1396,16:58:19,570
17.106388,48.139601,16:58:20,571
17.106324,48.139599,16:58:21,572
17.106263,48.139596,16:58:22,573
17.106202,48.139591,16:58:23,574
17.106143,48.139587,16:58:24,575
17.106085,48.139583,16:58:25,576
17.106029,48.139583,16:58:26,577
17.105974,48.139584,16:58:27,578
17.105916,48.139582,16:58:28,579
17.105854,48.139578,16:58:29,580
17.105792,48.139573,16:58:30,581
17.105728,48.139573,16:58:31,582
17.105664,48.139575,16:58:32,583
17.1056,48.139577,16:58:33,584
17.105538,48.139575,16:58:34,585
17.105477,48.139572,16:58:35,586
17.105414,48.13957,16:58:36,587
17.105351,48.139569,16:58:37,588
17.105287,48.139571,16:58:38,589
17.105223,48.139575,16:58:39,590
17.105161,48.139582,16:58:40,591
17.105099,48.139589,16:58:41,592
17.105037,48.139594,16:58:42,593
17.104974,48.139597,16:58:43,594
17.104909,48.139597,16:58:44,595
17.104843,48.139596,16:58:45,596
17.10478,48.139597,16:58:46,597
17.104715,48.139597,16:58:47,598
17.10465,48.139597,16:58:48,599
17.104586,48.139598,16:58:49,600
17.104524,48.1396,16:58:50,601
17.104463,48.139604,16:58:51,602
17.104404,48.139609,16:58:52,603
17.104347,48.139615,16:58:53,604
17.104289,48.13962,16:58:54,605
17.10423,48.139626,16:58:55,606
17.104172,48.139632,16:58:56,607
17.104117,48.139638,16:58:57,608
17.104062,48.139643,16:58:58,609
17.104007,48.139648,16:58:59,610
17.103953,48.139652,16:59:00,611
